timestamp,symbol,quantity,price,gross_value,commission,side
2021-04-15 04:00:00+00:00,XLI,-33,94.05030239868165,3103.6599791564945,3.1036599791564945,SELL
2021-04-16 04:00:00+00:00,XLI,5,94.34961094665528,471.7480547332764,1.0,BUY
2021-04-19 04:00:00+00:00,XLI,16,93.95782884979248,1503.3252615966796,1.5033252615966797,BUY
2021-04-20 04:00:00+00:00,XLI,9,92.92233058547973,836.3009752693175,1.0,BUY
2021-04-21 04:00:00+00:00,XLI,-55,94.09689469146728,5175.329208030701,5.175329208030701,SELL
2021-04-22 04:00:00+00:00,XLI,44,93.71526836013794,4123.471807846069,4.1234718078460695,BUY
2021-04-23 04:00:00+00:00,XLI,-32,94.64672187423706,3028.695099975586,3.028695099975586,SELL
2021-04-26 04:00:00+00:00,XLI,33,94.46156722640991,3117.231718471527,3.117231718471527,BUY
2021-04-27 04:00:00+00:00,XLI,-21,95.14996438980103,1998.1492521858215,1.9981492521858215,SELL
2021-04-28 04:00:00+00:00,XLRE,4919,36.41767865180969,179138.56128825186,179.13856128825188,BUY
2021-04-28 04:00:00+00:00,XLI,-1861,94.9542691345215,176709.8948593445,176.7098948593445,SELL
2021-04-29 04:00:00+00:00,XLRE,-64,36.64866631698609,2345.5146442871096,2.3455146442871095,SELL
2021-04-30 04:00:00+00:00,XLRE,12,36.927077053070064,443.1249246368408,1.0,BUY
2021-05-03 04:00:00+00:00,XLRE,80,36.728510564804075,2938.280845184326,2.9382808451843263,BUY
2021-05-04 04:00:00+00:00,XLRE,-8,36.46753973197937,291.740317855835,1.0,SELL
2021-05-05 04:00:00+00:00,XLRE,-4939,35.93277306938172,177471.9661896763,177.47196618967632,SELL
2021-05-05 04:00:00+00:00,XLB,2262,78.88776706695556,178444.12910545347,178.44412910545347,BUY
2021-05-06 04:00:00+00:00,XLB,-74,79.47569942474365,5881.20175743103,5.881201757431031,SELL
2021-05-07 04:00:00+00:00,XLB,2,80.34154229736328,160.68308459472655,1.0,BUY
2021-05-10 04:00:00+00:00,XLB,45,79.98495692825317,3599.3230617713925,3.5993230617713925,BUY
2021-05-11 04:00:00+00:00,XLB,-22,80.1698864593506,1763.737502105713,1.7637375021057131,SELL
2021-05-12 04:00:00+00:00,XLB,65,78.22944093704223,5084.913660907745,5.084913660907745,BUY
2021-05-13 04:00:00+00:00,XLB,-113,79.34782607650757,8966.304346645356,8.966304346645357,SELL
2021-05-14 04:00:00+00:00,XLB,20,80.37812063598632,1607.5624127197264,1.6075624127197263,BUY
2021-05-17 04:00:00+00:00,XLB,21,81.0821238899231,1702.724601688385,1.702724601688385,BUY
2021-05-18 04:00:00+00:00,XLB,53,80.18609199142456,4249.862875545502,4.249862875545502,BUY
2021-05-19 04:00:00+00:00,XLB,-2259,78.88198703002931,178194.4087008362,178.19440870083622,SELL
2021-05-19 04:00:00+00:00,XLF,5181,34.398828392028804,178220.32989910123,178.22032989910124,BUY
2021-05-20 04:00:00+00:00,XLF,-142,34.38293115997315,4882.376224716187,4.882376224716187,SELL
2021-05-21 04:00:00+00:00,XLF,-54,34.724812593460086,1875.1398800468446,1.8751398800468446,SELL
2021-05-24 04:00:00+00:00,XLF,48,34.92605415344238,1676.4505993652342,1.6764505993652343,BUY
2021-05-25 04:00:00+00:00,XLF,94,34.57456776809692,3250.0093702011104,3.2500093702011106,BUY
2021-05-26 04:00:00+00:00,XLF,-90,34.641655645370484,3117.7490080833436,3.1177490080833437,SELL
2021-05-27 04:00:00+00:00,XLF,-43,35.03898648262024,1506.6764187526703,1.5066764187526704,SELL
2021-05-28 04:00:00+00:00,XLF,74,35.138795511245725,2600.2708678321837,2.600270867832184,BUY
2021-06-01 04:00:00+00:00,XLF,-10,35.31619918632507,353.1619918632507,1.0,SELL
2021-06-02 04:00:00+00:00,XLRE,4676,38.5157158241272,180099.48719361878,180.09948719361878,BUY
2021-06-02 04:00:00+00:00,XLF,-5058,35.37162952613831,178909.70214320754,178.90970214320754,SELL
2021-06-03 04:00:00+00:00,XLRE,7,38.438009754180904,269.06606827926635,1.0,BUY
2021-06-04 04:00:00+00:00,XLRE,-18,38.43409288978577,691.8136720161438,1.0,SELL
2021-06-07 04:00:00+00:00,XLRE,-44,38.79635368537903,1707.0395621566774,1.7070395621566774,SELL
2021-06-08 04:00:00+00:00,XLRE,38,39.04238054466247,1483.610460697174,1.483610460697174,BUY
2021-06-09 04:00:00+00:00,XLRE,37,39.08555015945434,1446.1653558998107,1.4461653558998107,BUY
2021-06-10 04:00:00+00:00,XLRE,-40,39.44325068664551,1577.7300274658205,1.5777300274658206,SELL
2021-06-11 04:00:00+00:00,XLRE,92,39.23232532310486,3609.373929725647,3.6093739297256473,BUY
2021-06-14 04:00:00+00:00,XLRE,-63,39.41737328147888,2483.2945167331695,2.4832945167331695,SELL
2021-06-15 04:00:00+00:00,XLRE,76,39.0941833190918,2971.1579322509765,2.9711579322509767,BUY
2021-06-16 04:00:00+00:00,XLRE,-13,38.70148003387451,503.1192404403686,1.0,SELL
2021-06-17 04:00:00+00:00,XLRE,-88,38.84810468292237,3418.6332120971683,3.4186332120971685,SELL
2021-06-18 04:00:00+00:00,XLRE,101,38.27397590446472,3865.6715663509367,3.8656715663509367,BUY
2021-06-21 04:00:00+00:00,XLRE,-193,38.995301250457764,7526.093141338349,7.5260931413383485,SELL
2021-06-22 04:00:00+00:00,XLRE,149,38.86051551818847,5790.216812210082,5.790216812210082,BUY
2021-06-23 04:00:00+00:00,XLRE,-9,38.700149370193486,348.30134433174135,1.0,SELL
2021-06-24 04:00:00+00:00,XLRE,-6,38.51784463310242,231.10706779861454,1.0,SELL
2021-06-25 04:00:00+00:00,XLRE,-66,38.79564450645447,2560.512537425995,2.560512537425995,SELL
2021-06-28 04:00:00+00:00,XLRE,47,38.851836559295656,1826.0363182868957,1.8260363182868957,BUY
2021-06-29 04:00:00+00:00,XLRE,13,38.82576914978027,504.73499894714354,1.0,BUY
2021-06-30 04:00:00+00:00,XLRE,32,38.52162774467468,1232.6920878295898,1.23269208782959,BUY
2021-07-01 04:00:00+00:00,XLRE,-73,38.63938493728638,2820.675100421906,2.820675100421906,SELL
2021-07-02 04:00:00+00:00,XLRE,-4655,38.82167442321778,180714.89444007876,180.71489444007875,SELL
2021-07-02 04:00:00+00:00,XLY,1034,174.96230010223388,180911.01830570985,180.91101830570986,BUY
2021-07-06 04:00:00+00:00,XLY,3,175.165129737854,525.495389213562,1.0,BUY
2021-07-07 04:00:00+00:00,XLY,2,175.0685238418579,350.1370476837158,1.0,BUY
2021-07-08 04:00:00+00:00,XLY,2,174.63391944122313,349.26783888244626,1.0,BUY
2021-07-09 04:00:00+00:00,XLY,-14,176.09008779144287,2465.2612290802003,2.4652612290802005,SELL
2021-07-12 04:00:00+00:00,XLY,6,177.47365647125244,1064.8419388275147,1.0648419388275148,BUY
2021-07-13 04:00:00+00:00,XLY,24,175.34864735412597,4208.367536499023,4.208367536499023,BUY
2021-07-14 04:00:00+00:00,XLY,-16,174.85500312805178,2797.6800500488284,2.7976800500488284,SELL
2021-07-15 04:00:00+00:00,XLY,1,174.08335132598876,174.08335132598876,1.0,BUY
2021-07-16 04:00:00+00:00,XLRE,4485,40.172675634384156,180174.45022021295,180.17445022021295,BUY
