timestamp,nav
2020-01-02 05:00:00+00:00,99849.9141559179
2020-01-03 05:00:00+00:00,101387.80022066367
2020-01-06 05:00:00+00:00,100817.48937930734
2020-01-07 05:00:00+00:00,100319.30493106515
2020-01-08 05:00:00+00:00,99651.3426614805
2020-01-09 05:00:00+00:00,100003.17062910611
2020-01-10 05:00:00+00:00,100888.36895363385
2020-01-13 05:00:00+00:00,100583.23698693016
2020-01-14 05:00:00+00:00,101100.74864590386
2020-01-15 05:00:00+00:00,101767.36997251443
2020-01-16 05:00:00+00:00,101447.51563264694
2020-01-17 05:00:00+00:00,100576.49264228667
2020-01-21 05:00:00+00:00,101639.55518277037
2020-01-22 05:00:00+00:00,101991.84549631942
2020-01-23 05:00:00+00:00,102702.01472506393
2020-01-24 05:00:00+00:00,103526.35279353012
2020-01-27 05:00:00+00:00,105121.51929919113
2020-01-28 05:00:00+00:00,104307.27903476739
2020-01-29 05:00:00+00:00,105332.5510717946
2020-01-30 05:00:00+00:00,105345.52165709123
2020-01-31 05:00:00+00:00,106305.50874768266
2020-02-03 05:00:00+00:00,106218.62935830888
2020-02-04 05:00:00+00:00,104785.0349724883
2020-02-05 05:00:00+00:00,103622.42519195547
2020-02-06 05:00:00+00:00,104092.22865256008
2020-02-07 05:00:00+00:00,105383.40293047603
2020-02-10 05:00:00+00:00,105669.95185186274
2020-02-11 05:00:00+00:00,105137.77230660518
2020-02-12 05:00:00+00:00,104602.0976087292
2020-02-13 05:00:00+00:00,105004.5498483189
2020-02-14 05:00:00+00:00,105463.76979843028
2020-02-18 05:00:00+00:00,106181.61876250347
2020-02-19 05:00:00+00:00,106172.99325594981
2020-02-20 05:00:00+00:00,107003.31720342144
2020-02-21 05:00:00+00:00,107994.71360227854
2020-02-24 05:00:00+00:00,109590.64609913142
2020-02-25 05:00:00+00:00,110163.9624559833
2020-02-26 05:00:00+00:00,109581.74487051465
2020-02-27 05:00:00+00:00,110775.146533999
2020-02-28 05:00:00+00:00,113249.09303141998
2020-03-02 05:00:00+00:00,112429.98469763206
2020-03-03 05:00:00+00:00,114182.7840584394
2020-03-04 05:00:00+00:00,112984.12489516634
2020-03-05 05:00:00+00:00,115817.49163951968
2020-03-06 05:00:00+00:00,121693.0714450273
2020-03-09 04:00:00+00:00,124825.77253834326
2020-03-10 04:00:00+00:00,118576.16106826602
2020-03-11 04:00:00+00:00,113980.48006481069
2020-03-12 04:00:00+00:00,114707.35082629784
2020-03-13 04:00:00+00:00,112128.4851702668
2020-03-16 04:00:00+00:00,119542.48656417694
2020-03-17 04:00:00+00:00,112037.09849168318
2020-03-18 04:00:00+00:00,105296.76607692259
2020-03-19 04:00:00+00:00,108333.91046251557
2020-03-20 04:00:00+00:00,116236.0335386889
2020-03-23 04:00:00+00:00,120695.58342648907
2020-03-24 04:00:00+00:00,118522.5737764737
2020-03-25 04:00:00+00:00,118245.78368490521
2020-03-26 04:00:00+00:00,118828.2144135429
2020-03-27 04:00:00+00:00,121980.21319428497
2020-03-30 04:00:00+00:00,120996.25721091329
2020-03-31 04:00:00+00:00,120005.38380844747
2020-04-01 04:00:00+00:00,121697.91432911035
2020-04-02 04:00:00+00:00,122458.58785924647
2020-04-03 04:00:00+00:00,122746.86418996546
2020-04-06 04:00:00+00:00,122425.52032994956
2020-04-07 04:00:00+00:00,121137.8047406399
2020-04-08 04:00:00+00:00,120245.00029841729
2020-04-09 04:00:00+00:00,120463.40491396046
2020-04-13 04:00:00+00:00,119364.15768053204
2020-04-14 04:00:00+00:00,119333.25837862925
2020-04-15 04:00:00+00:00,122492.813915367
2020-04-16 04:00:00+00:00,123845.40134507908
2020-04-17 04:00:00+00:00,122199.56757300001
2020-04-20 04:00:00+00:00,123192.65218104351
2020-04-21 04:00:00+00:00,124731.61243483533
2020-04-22 04:00:00+00:00,123469.43491964458
2020-04-23 04:00:00+00:00,124128.45869191842
2020-04-24 04:00:00+00:00,124417.19184662726
2020-04-27 04:00:00+00:00,122102.616817424
